type,review_id,source_id,failure_type,detector_to_fix,priority,reason,grid_band,x,y,length_m,breadth_or_width_m,area_sqm,text
BEAM,BR9,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H13-H14,1730185.103,-1016656.316,4.654,0,0,BEAM(230X600)
BEAM,BR10,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H16-H17,1730204.569,-1027029.124,2.353,0,0,BEAM(230X600)
BEAM,BR11,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H21-H22,1732060.35,-1038590.689,0.783,0,0,BEAM(750X600)
BEAM,BR12,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H10-H11,1732185,-1007495.322,3.499,0,0,BEAM(900X600)
BEAM,BR13,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H16-H17,1732125.689,-1028059.647,2.722,0,0,BEAM(900X600)
BEAM,BR14,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H13-H14,1732185,-1016883.888,4.456,0,0,BEAM(900X750)
BEAM,BR15,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E13-E14/H10-H11,1793798.78,-1006634.038,4.555,0,0,BEAM(900X600)
BEAM,BR16,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E13-E14/H17-H18,1793837.378,-1028637.933,1.944,0,0,BEAM(900X600)
BEAM,BR17,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E13-E14/H13-H14,1795405.185,-1016168.406,4.45,0,0,BEAM(900X600)
BEAM,BR18,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E13-E14/H14-H15,1793837.378,-1022061.435,4.699,0,0,BEAM(900X600)
BEAM,BR19,,short beam fragment unconfirmed,Bay-wise beam run builder,2,Beam span is below the minimum accepted short-beam length and has no confirming CAD dimension; possible split fragment.,E15-E16/H20-H21,1811624.851,-1036321.337,0.247,0,0,B(450X600)
BEAM,BR20,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E17-E18/H19-H20,1816576.037,-1034564.768,2.232,0,0,BEAM(300X600)
BEAM,BR21,,missing nearby beam face,Beam face/support detection,3,no nearby parallel faces,E14-E15/H15-H16,1805543.896,-1024785.218,0,0,0,BEAM(300X600)
BEAM,BR22,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E17-E18/H5-H6,1816576.037,-994418.103,1.201,0,0,BEAM(300X600)
BEAM,BR23,,missing nearby beam face,Beam face/support detection,3,no nearby parallel faces,E14-E15/H9-H10,1805543.896,-1001967.838,0,0,0,BEAM(300X600)
BEAM,BR24,,short beam fragment unconfirmed,Bay-wise beam run builder,2,Beam span is below the minimum accepted short-beam length and has no confirming CAD dimension; possible split fragment.,E14-E15/H2-H3,1802236.732,-991087.445,0.062,0,0,BEAM(450X600)
BEAM,BR25,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E15-E16/H9-H10,1812277.03,-1001649.402,1.795,0,0,BEAM(900X600)
BEAM,BR26,,missing nearby beam face,Beam face/support detection,3,no nearby parallel faces,E9-E10/outside H grid,1760014.547,-1044124.381,0,0,0,BEAM(400X600)
